name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Tel Nadda,427553566,1801495,2478689,10732639,7,7,0,5296895,4282145,3,0,TRUE,TRUE,0,54997,FALSE,FALSE,0,0,0,3,,,,,
Larping Soccer Moms,962753997,1626459,2240898,14402793,4,18,0,8244636,3881211,6,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,3,3,0,3,0
Wil043,635417488,2231763,3625897,16641838,35,15,3,7271304,5894304,1,0,TRUE,TRUE,602447,217771,FALSE,FALSE,0,0,0,4,,,,,
Zhil Axfow,826592934,2926073,3808752,16625393,8,15,0,10028247,6736497,3,0,TRUE,TRUE,0,99440,FALSE,TRUE,0,0,0,3,4,,,,1
Robcan,523883192,3234885,4097739,27193462,25,35,0,14673501,7350301,6,0,TRUE,TRUE,332274,134025,TRUE,TRUE,0,0,0,4,4,4,4,2,1
Guntha Arbos,248271439,2790371,4152238,20262442,3,18,0,10980683,6958483,6,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,2,4,4,0,1,0
Tommyboy85,929389526,2930208,4070109,25606878,43,32,1,14385318,7020393,6,0,TRUE,TRUE,103238,156656,TRUE,TRUE,0,0,0,3,4,4,4,3,1
Philo Beddoe,753225541,2804644,3801269,21567721,8,22,0,11520930,6609980,5,0,TRUE,TRUE,0,88802,FALSE,TRUE,0,0,0,2,3,4,,2,1
Loadage,268951863,2889369,3953479,26235878,8,34,2,15052099,6853999,6,1,TRUE,TRUE,0,61240,TRUE,TRUE,0,0,0,4,4,4,4,4,1
BabyYodaHitta,629856937,1358206,2079543,9465288,6,12,0,6135521,3439346,3,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,4,,,,3,
MINI xipokemastrix,242144976,2015769,2826559,18216504,15,23,0,9775019,4864069,6,0,TRUE,TRUE,76171,34549,TRUE,TRUE,0,0,0,2,3,4,0,2,1
TacoPizza,797491243,2340536,3501100,20694764,4,25,0,10517053,5848303,4,0,TRUE,TRUE,0,5536,FALSE,TRUE,0,0,0,3,4,4,,,1
Dark Penguin,894569678,2005872,2688137,13731171,8,17,0,9036663,4706463,5,0,TRUE,TRUE,62407,45463,FALSE,TRUE,0,0,0,1,2,4,,2,1
joker,976597667,2320721,3383345,20053237,2,22,0,11301622,5714022,6,0,TRUE,TRUE,0,32410,TRUE,TRUE,0,0,0,1,1,3,3,4,1
Obi Won Sebroni,247341668,1922809,2797802,18904593,20,26,1,11410810,4760610,6,0,TRUE,TRUE,0,37711,TRUE,TRUE,0,0,0,2,4,4,4,2,1
Calens,499477827,2723323,3988879,20507833,6,18,0,11703153,6729978,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,4,4,,,3,1
AKB,461667365,2660745,3938865,24094095,8,30,1,12629866,6641941,6,0,TRUE,TRUE,0,64654,TRUE,TRUE,0,0,0,3,4,4,0,3,1
SloppySaberFlavor,671337993,2730448,3888619,24850746,2,31,0,14466220,6630370,6,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4,4,1
Bitz Maidenhell,589218854,2568305,3884480,23544247,5,29,0,13065513,6466813,6,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,3,4,4,2,1
ONE,873729113,2799177,4054785,17211376,4,9,0,9611513,6854313,5,0,TRUE,TRUE,0,30435,FALSE,FALSE,0,0,0,1,2,2,,2,
OttoVonGens,994659641,3233630,4618637,27383683,16,32,1,15111756,7856656,6,0,TRUE,TRUE,112749,137720,TRUE,TRUE,0,0,0,1,4,4,4,4,1
Argarax,545871634,2459059,3920777,25407162,14,35,1,14598452,6400352,6,0,TRUE,TRUE,79792,153894,TRUE,TRUE,0,0,0,4,4,4,4,4,1
Epsil0n Actual,933247321,3242250,4793346,26516079,42,28,0,14414960,8034760,6,0,TRUE,TRUE,554377,265176,TRUE,TRUE,0,0,0,1,4,4,4,2,1
MINI Stewabob,552522334,1730820,2582277,16074144,14,19,0,8966865,4355940,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,3,4,,,3,1
Baxston Kane,473373554,3056170,4229801,24916736,8,28,0,13099170,7313320,6,0,TRUE,TRUE,109863,26545,TRUE,TRUE,0,0,0,2,3,4,0,4,1
Sasabomish,352986215,2800268,3985721,24866994,42,31,2,13827381,6824706,6,0,TRUE,TRUE,233729,180488,TRUE,TRUE,0,0,0,3,3,4,4,3,1
Komitadji,231363518,2942553,4181191,26736356,33,35,0,14548483,7183558,6,0,TRUE,TRUE,483501,174177,TRUE,TRUE,0,0,0,3,4,4,4,3,1
PadawanTano,584733846,1659624,2170046,17084992,29,25,0,10426669,3844569,6,0,TRUE,TRUE,254268,180164,TRUE,TRUE,0,0,0,1,2,4,4,4,1
TWill88,494485598,2804773,3758713,19412879,2,23,0,8855857,4286657,4,0,TRUE,FALSE,0,31986,FALSE,TRUE,2276829,0,0,4,4,,,2,1
EvilCoyote2011,997394645,2657354,3883597,11028820,3,3,1,3559079,2659079,1,0,TRUE,FALSE,0,0,FALSE,TRUE,3881872,0,0,,,,,,1
KaStarkiller,222784581,2003698,2587777,14263369,20,17,0,7067694,2658844,5,0,TRUE,FALSE,175893,148916,FALSE,TRUE,1932631,0,0,2,3,,,4,1
Higgs,265535499,2464521,3488971,15622287,2,8,0,8336289,5987539,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,3,,,,1
ilekkund2,148163689,2388647,3195127,22935913,14,32,0,13340319,5613144,6,0,TRUE,TRUE,114853,124682,TRUE,TRUE,0,0,0,4,4,4,4,3,1
Masajj Vemtits,596537312,2705192,3750885,22315758,4,25,0,11921029,6476929,4,0,TRUE,TRUE,0,58339,FALSE,TRUE,0,0,0,4,4,,,4,1
Gryphix,997239157,3004089,4275339,25334265,4,29,0,13718229,7296304,6,0,TRUE,TRUE,0,30229,TRUE,TRUE,0,0,0,1,3,4,4,3,1
MarkKenoburger,513125742,2006597,3112752,18206011,1,21,0,9064384,5126459,4,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,3,,,3,1
Nom,884121445,3090697,4261730,25162577,36,28,0,14060267,7368342,6,0,TRUE,TRUE,592125,369315,TRUE,TRUE,0,0,0,2,3,4,4,3,1
Theflavorgreen,416984533,2412039,3722096,15649160,2,10,0,7952781,6141781,5,0,TRUE,TRUE,0,29466,FALSE,FALSE,0,0,0,1,4,,,,
Sultan2309,938542548,2050653,3358243,17049206,10,17,0,9958565,5414465,4,0,TRUE,TRUE,186383,80809,FALSE,FALSE,0,0,0,4,4,,,4,
Promethean,245711569,2608770,3530419,22770728,3,28,0,13975039,6139189,6,0,TRUE,TRUE,40502,30307,TRUE,TRUE,0,0,0,3,4,4,4,4,1
ShootMeow,118543169,3027087,4222275,23564668,0,24,0,12715770,7271670,4,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,4,4,,,4,1
Gmosabi β 0296 on Discord,824369415,2949793,3997536,26331369,16,34,1,14788432,6952582,6,0,TRUE,TRUE,391111,231760,TRUE,TRUE,0,0,0,3,4,4,4,4,1
Maxaron Lexilon,591283737,3109852,3965285,21271055,0,18,1,12525018,7087818,6,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,1,1,4,4,2,1
JustinAlexander11,283842274,2604446,4090356,18053144,0,31,0,10849817,3324717,6,0,TRUE,FALSE,0,0,TRUE,TRUE,3370085,0,0,2,4,4,4,4,1
wamakima5004,556569861,2932167,3856689,22928544,2,26,0,12114697,6793447,5,0,TRUE,TRUE,0,53189,FALSE,TRUE,0,0,0,3,3,3,4,,1
Stargun inoza,992275427,2724708,3814133,19227381,2,24,0,12878697,6549022,6,0,TRUE,TRUE,0,39183,TRUE,TRUE,0,0,0,2,3,3,4,3,1
MINI Zeratoark,552854579,2859381,4028088,15856753,0,15,0,12473472,6889522,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,3,4,4,,2,1
Chaunce,492994246,2991048,4089820,25622637,0,31,0,13799917,7107992,6,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,2,3,4,4,3,1
Wolfman314,144353549,2925243,3936774,20467388,0,18,0,10771357,6875157,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,4,,,2,1
M1TTH,124849497,2258114,3167922,14242958,0,16,0,9080036,5426036,3,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,4,4,,,,1
