name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Guntha Arbos,248271439,2822425,4214311,17095228,3,35,0,10004879,4280879,5,1,FALSE,TRUE,65737,50890,TRUE,FALSE,0,2755857,0,4,4,4,4,4,,
SloppySaberFlavor,671337993,2745202,3930796,8131860,0,19,0,1324644,244644,1,1,FALSE,FALSE,0,0,FALSE,FALSE,3686152,2500558,244644,,,,,,,
MarkKenoburger,513125742,2051412,3153296,14156128,1,37,0,10370297,3573797,6,0,FALSE,TRUE,0,32328,TRUE,FALSE,0,1630911,0,4,4,4,4,4,,1
Nom,884121445,3113939,4346427,18207125,14,36,0,10692698,4968698,5,1,FALSE,TRUE,621150,80894,TRUE,FALSE,0,2491668,0,4,4,4,4,4,,
EvilCoyote2011,997394645,2735197,3946432,21418922,2,38,2,14304313,6682813,7,0,TRUE,TRUE,0,45285,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
M1TTH,124849497,2311342,3216506,6092506,0,15,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3216506,2311342,0,,,,,,,
Theflavorgreen,416984533,2457311,3787213,6344061,3,12,0,180848,180848,0,1,FALSE,FALSE,0,75591,FALSE,FALSE,3606365,2276463,180848,,,,,,,
Masajj Vemtits,596537312,2743869,3793378,9646084,0,20,0,9522341,3798341,5,1,FALSE,TRUE,0,0,TRUE,FALSE,0,2738906,0,4,4,4,4,4,,
JacenCaedus,634487631,3253668,4373750,2513295,24,4,0,2383016,979016,1,0,FALSE,FALSE,597084,321801,FALSE,FALSE,3394734,2274652,979016,,,,,4,,
Maxaron Lexilon,591283737,3113946,3982864,9842040,0,20,0,9726295,4002295,5,1,FALSE,TRUE,0,0,TRUE,FALSE,0,3094515,0,4,4,4,4,4,,
TWill88,494485598,2825475,3806216,1573858,0,4,0,1457429,53429,1,0,FALSE,FALSE,0,0,FALSE,FALSE,3752787,2772046,53429,,,,,4,,
wamakima5004,556569861,2988312,3922948,9520255,2,19,0,9416698,4064698,5,1,FALSE,TRUE,140163,0,TRUE,FALSE,0,2846562,0,3,4,4,4,4,,
MINI Stewabob,552522334,1897708,2639003,3197445,0,1,0,3074034,2001534,1,1,TRUE,FALSE,0,0,FALSE,FALSE,2535177,0,0,,,,,,,1
MINI Zeratoark,552854579,2907900,4085390,4108163,0,12,0,3980688,416688,3,1,FALSE,FALSE,0,0,FALSE,FALSE,3668702,2491212,416688,4,4,,,4,,
Tel Nadda,427553566,1834575,2517717,7954489,7,19,0,7954489,2602489,5,1,FALSE,TRUE,82575,109434,TRUE,FALSE,0,1749803,0,3,4,4,4,4,,
