name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Obi Won Sebroni,247341668,1849510,2739292,14276533,20,28,0,9244734,4596234,6,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,3,3,4,4,,,1
Tel Nadda,427553566,1756007,2423392,11812566,23,30,0,6485572,2537572,4,1,FALSE,TRUE,95648,109509,FALSE,FALSE,0,1641827,0,,,,,,,
joker,976597667,2255268,3345750,17568799,20,35,0,11346629,5622629,7,1,TRUE,TRUE,62632,84937,TRUE,TRUE,0,0,0,4,4,4,4,4,0,0
Gryphix,997239157,2924485,4222632,22186177,6,38,0,14781021,7159521,7,1,TRUE,TRUE,0,23202,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Larping Soccer Moms,962753997,1601809,2216515,16541493,13,37,0,11448978,3827478,7,1,TRUE,TRUE,56158,32361,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
denkrob,592184954,2748708,3811116,20868123,13,37,0,14181007,6559507,7,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
AKB,461667365,2528478,3894795,13323353,50,23,0,6551418,4391418,2,1,FALSE,TRUE,494981,416499,FALSE,FALSE,0,2031855,0,4,4,,,,,
Zlada14,825875376,2675668,3763955,19643213,4,36,0,12998921,6449921,7,1,TRUE,TRUE,10785,58495,TRUE,TRUE,0,0,0,4,4,4,4,4,1,0
EvilCoyote2011,997394645,2532742,3855743,17605921,2,37,0,10858219,3236719,7,1,TRUE,FALSE,0,0,TRUE,TRUE,3151766,0,0,4,4,4,4,4,1,1
Bitz Maidenhell,589218854,2505526,3867542,12282822,14,31,0,9221766,3869766,5,1,FALSE,TRUE,0,0,TRUE,FALSE,0,2503302,0,3,4,4,4,4,,
