AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount,ModScore,GearScore,TotalScore
884121445,Nom,Nom Polustra#4120,3.08608E+17,4118278,2953810,239,22,41,92,133,0,0,3,32,12,24,2,19,0,0,173,523,185,51,6,1,3.93,4.36,8.28
118543169,ShootMeow,Shootmeow#3818,3.64037E+17,4121187,2953800,240,28,45,71,154,3,0,0,11,11,29,5,10,5,0,328,444,152,43,8,2,3.28,3.68,6.96
124849497,M1TTH,!M1TTH#8698,2.25969E+17,3137345,2185321,192,16,29,37,105,1,2,3,4,0,15,3,6,2,0,145,209,60,30,5,1,1.82,2.59,4.4
144353549,Wolfman314,Wolfman314#6474,3.8312E+17,3879965,2831090,230,17,52,59,123,2,0,3,8,10,20,2,14,2,0,196,434,154,53,12,0,3.63,3.42,7.06
148163689,ilekkund2,ilekkund#8475,3.22359E+17,3122964,2388104,213,12,17,65,114,3,0,0,17,3,23,4,13,5,0,181,364,135,47,15,1,4.05,3.89,7.94
148199846,Agave,Agave#6806,3.93395E+17,3890023,2773926,238,21,26,69,130,4,3,3,16,3,20,4,16,4,0,229,489,198,62,10,2,4.54,3.48,8.03
214848174,ilekkund,ilekkund#8475,3.22359E+17,4681576,3172235,260,22,47,103,178,3,1,0,22,2,40,4,22,12,0,223,544,206,77,15,4,4.04,4.65,8.69
222784581,KaStarkiller,domobray(KAStarkiller)#9478,3.48849E+17,2534416,1923875,165,12,13,41,71,2,1,1,6,0,20,1,9,3,0,112,186,63,25,7,1,2.35,3.1,5.46
231363518,Komitadji,Komitadji#3550,6.91449E+17,4103024,2882333,233,18,37,84,147,2,3,2,20,1,36,2,17,3,0,217,367,148,44,5,3,3.17,4.11,7.28
242144976,MINI xipokemastrix,xIPokemastrIx#2005,3.47774E+17,2760624,1945870,182,11,20,48,99,1,3,1,14,1,15,3,9,2,0,206,393,163,40,5,2,5.12,3.42,8.54
245711569,Promethean,Promethean#3008,3.24684E+17,3524797,2520057,228,23,34,61,108,1,0,0,11,7,24,4,11,4,0,238,500,186,52,17,2,4.81,3.63,8.44
247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,7.295E+17,2736544,1849510,181,11,17,37,61,1,0,0,3,0,22,0,8,4,0,128,194,65,14,4,1,2.09,2.9,4.99
248271439,Guntha Arbos,guntha arbos#0996,5.96387E+17,4083720,2735729,221,23,40,82,165,1,14,5,20,7,15,5,13,3,0,215,310,116,55,11,3,2.7,3.97,6.68
265535499,Higgs,Higgs#0298,3.5195E+17,3450716,2418319,198,18,42,61,111,0,0,7,29,11,9,3,2,0,0,125,297,113,18,4,0,2.79,3.55,6.34
268951863,Loadage,Loadage#1450,2.42793E+17,3849927,2807464,233,14,12,75,118,2,1,0,17,8,24,2,16,6,0,152,404,139,57,20,2,3.5,3.58,7.08
416984533,Theflavorgreen,theflavorgreen#9250,3.67649E+17,3682007,2281236,201,22,33,45,97,2,0,0,4,8,8,5,14,4,2,149,254,83,20,3,1,1.96,2.97,4.93
