AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount,ModScore,GearScore,TotalScore
352986215,Sasabomish,sasabomish#4660,3.31972E+17,3985721,2800268,216,20,20,84,132,4,0,0,17,5,29,5,21,6,1,200,443,176,69,10,3,4.03,4.12,8.15
884121445,Nom,Nom Polustra#4120,3.08608E+17,4261730,3090697,242,25,40,95,139,1,0,3,33,11,24,2,21,0,0,181,568,201,56,6,1,4.12,4.29,8.41
118543169,ShootMeow,Shootmeow#3818,3.64037E+17,4222275,3027087,246,29,44,76,159,4,0,0,12,11,31,4,12,5,1,335,454,156,46,9,2,3.3,3.8,7.11
124849497,M1TTH,!M1TTH#8698,2.25969E+17,3167415,2257219,194,17,29,38,104,1,3,3,4,0,15,3,6,2,0,147,212,63,31,6,1,1.9,2.58,4.48
144353549,Wolfman314,Wolfman314#6474,3.8312E+17,3935266,2925243,232,18,49,64,127,2,0,6,8,10,21,2,15,2,0,202,449,164,54,12,0,3.79,3.5,7.29
148163689,ilekkund2,ilekkund#8475,3.22359E+17,3195127,2388647,214,13,16,67,120,3,0,0,18,3,23,4,14,5,0,185,372,138,51,15,2,4.06,3.93,7.99
214848174,ilekkund,ilekkund#8475,3.22359E+17,4727000,3257529,262,20,46,107,178,3,1,1,22,4,41,4,22,12,0,230,561,212,78,15,4,4.11,4.7,8.81
222784581,KaStarkiller,domobray(KAStarkiller)#9478,3.48849E+17,2587777,2003698,169,11,13,44,73,2,3,0,6,0,21,1,10,3,0,126,190,67,27,7,1,2.44,3.2,5.64
231363518,Komitadji,Komitadji#3550,6.91449E+17,4181191,2942553,235,15,40,87,153,3,0,1,24,1,38,2,18,3,0,228,389,156,47,6,3,3.3,4.22,7.52
242144976,MINI xipokemastrix,xIPokemastrIx#2005,3.47774E+17,2826559,2015769,189,11,18,53,101,1,5,1,15,1,16,4,9,2,0,209,399,168,43,6,2,5.19,3.56,8.74
245711569,Promethean,Promethean#3008,3.24684E+17,3530419,2608770,229,23,34,61,108,1,0,0,11,7,24,4,11,4,0,239,500,186,52,17,2,4.8,3.58,8.38
247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,7.295E+17,2797802,1922809,184,10,17,40,64,1,0,0,5,0,22,0,9,4,0,135,214,75,20,4,1,2.37,3,5.38
248271439,Guntha Arbos,guntha arbos#0996,5.96387E+17,4152238,2790371,226,26,42,83,170,2,14,5,20,8,15,4,14,3,0,226,315,118,59,12,3,2.73,3.98,6.71
265535499,Higgs,Higgs#0298,3.5195E+17,3488971,2464521,200,18,41,63,111,0,0,9,27,11,11,3,2,0,0,130,308,118,19,4,0,2.88,3.58,6.46
268951863,Loadage,Loadage#1450,2.42793E+17,3953269,2889369,237,14,14,77,124,2,1,1,17,8,24,2,16,7,0,155,417,142,61,21,2,3.5,3.6,7.1
416984533,Theflavorgreen,theflavorgreen#9250,3.67649E+17,3722096,2412039,204,22,32,48,99,3,0,1,5,8,8,5,15,4,2,154,256,85,21,3,1,1.99,3.01,4.99
461667365,AKB,akb#7955,3.22799E+17,3938865,2660745,236,24,43,68,146,4,0,1,13,2,27,6,14,5,0,181,313,121,31,4,3,2.68,3.81,6.49
473373554,Baxston Kane,Baxston Kane#5600,5.04379E+17,4229801,3056170,244,20,45,66,152,3,6,1,13,3,14,4,22,3,0,149,379,99,32,7,1,2.12,3.35,5.47
492994246,Chaunce,Chaunce#1601,3.27048E+17,4088833,2985428,251,14,26,85,155,1,1,1,18,8,28,6,21,2,0,285,431,144,35,5,4,3.06,3.99,7.05
494485598,TWill88,twill88#0974,4.47228E+17,3758713,2804773,251,8,19,72,108,0,1,1,18,2,24,4,18,4,0,151,407,139,46,9,2,3.35,3.61,6.96
499477827,Calens,Calens#9082,5.66925E+17,3988879,2723323,234,20,32,70,132,0,5,1,13,10,25,3,13,0,0,194,319,107,27,4,2,2.34,3.52,5.86
523883192,Robcan,robcan#9945,4.80341E+17,4097739,3234885,240,14,23,97,141,1,0,1,19,14,33,6,20,4,0,241,566,188,61,11,4,4.13,4.3,8.43
545871634,Argarax,Kazrud#2235,5.06545E+17,3920777,2459059,207,9,9,107,96,4,1,1,17,6,40,4,23,13,1,215,390,114,56,12,5,2.8,5.35,8.14
552854579,MINI Zeratoark,Zeratoark#9535,2.66724E+17,4026191,2859381,237,7,44,84,133,2,1,2,13,6,27,6,15,9,0,200,580,229,79,18,2,5.21,4.31,9.52
556569861,wamakima5004,wamakima5004#0097,1.31408E+17,3856689,2932167,247,11,42,78,151,2,0,2,14,17,19,6,16,4,0,196,428,162,40,2,3,3.6,4.07,7.67
589218854,Bitz Maidenhell,Bitz Maidenhell#2587,2.24775E+17,3884480,2568305,234,26,37,68,129,1,2,2,11,5,26,4,11,2,0,169,243,79,16,5,2,1.79,3.64,5.42
591283737,Maxaron Lexilon,MaxaronLexilon#3633,6.04506E+17,3965285,3109852,230,7,71,63,144,1,0,0,7,2,33,0,17,4,0,165,501,176,56,17,1,4.09,3.77,7.86
596537312,Masajj Vemtits,Masajj Vemtits#4575,2.91733E+17,3750885,2705192,230,11,38,83,141,0,10,12,12,11,14,10,14,0,0,191,378,150,53,8,1,3.61,4.22,7.83
629856937,BabyYodaHitta,Baby Yoda SmackDabbaDooer#6614,5.17475E+17,2079543,1358206,149,23,4,34,62,1,3,1,7,0,12,0,7,4,0,102,88,24,3,2,0,1.01,3.09,4.1
635417488,Wil043,will043#3201,5.34831E+17,3625897,2231763,190,23,31,53,114,3,0,0,4,5,24,3,13,4,0,159,189,56,13,1,1,1.32,3.35,4.68
671337993,SloppySaberFlavor,Sloppysaberflavor#9142,3.44333E+17,3888619,2730448,226,28,34,59,148,1,4,0,8,7,17,3,17,3,0,188,172,61,23,5,2,1.45,3.22,4.67
753225541,Philo Beddoe,Handleman20#4805,5.57191E+17,3801269,2804644,237,13,18,76,125,0,2,4,21,7,20,5,14,3,0,213,289,71,16,5,2,1.66,3.65,5.31
797491243,TacoPizza,TacoPizza#2451,6.85331E+17,3501100,2340536,197,27,14,64,127,2,0,0,9,4,20,8,17,6,0,183,236,94,24,6,2,2.39,3.68,6.06
824369415,Gmosabi β 0296 on Discord,Gmosabi_β#0296,3.27489E+17,3997536,2949793,240,7,35,94,164,4,12,5,16,5,32,7,10,7,0,272,544,187,65,9,2,4.2,4.43,8.64
826592934,Zhil Axfow,Zhil Axfow#5696,3.74917E+17,3808752,2926073,244,16,53,62,144,1,3,3,4,4,29,8,5,2,0,139,328,104,24,0,0,2.31,3.47,5.78
873729113,ONE,mcramos#8116,7.64212E+17,4054785,2799177,237,45,34,48,136,1,0,4,6,7,16,6,7,2,0,216,247,65,10,2,0,1.36,2.59,3.95
894569678,Dark Penguin,DarkPenguin#2039,3.17071E+17,2688137,2005872,167,11,19,47,91,0,0,2,10,6,14,4,10,1,0,135,276,91,20,3,1,2.92,3.39,6.32
929389526,Tommyboy85,tommyboy#3739,3.65471E+17,4070109,2930208,262,12,30,84,148,1,0,0,16,9,25,3,23,8,0,249,412,179,65,8,4,3.96,4.14,8.1
933247321,Epsil0n Actual,RandyCliptic#9400,5.47091E+17,4793346,3242250,261,25,42,105,166,5,0,11,16,6,28,3,30,10,1,306,615,239,75,20,3,4.55,4.54,9.09
938542548,Sultan2309,Sultan2309#7453,3.84515E+17,3358243,2050653,191,11,32,75,115,1,1,1,5,4,28,5,22,7,0,153,286,120,43,9,4,3.28,4.92,8.2
962753997,Larping Soccer Moms,Larping Soccer Moms#6379,3.90553E+17,2240898,1626459,126,13,18,39,77,0,1,2,8,4,8,7,9,0,0,130,209,95,16,3,0,3.61,3.46,7.08
992275427,Stargun inoza,stargun#1897,3.95048E+17,3814133,2724708,227,15,26,87,128,3,3,7,15,4,32,5,19,2,0,235,294,101,35,4,2,2.36,4.34,6.71
994659641,OttoVonGens,OttoVonGens#2822,4.92349E+17,4618637,3233630,251,11,37,101,188,3,3,1,21,5,35,4,28,4,0,344,613,250,78,6,4,4.75,4.37,9.11
997239157,Gryphix,Gryphix#1116,2.6146E+17,4275339,3004089,227,16,37,95,158,2,0,0,23,4,35,7,18,7,0,251,470,179,71,15,3,3.89,4.47,8.36
283842274,JustinAlexander11,JustinAlexander11#1023,7.88175E+17,4090356,2604446,214,6,15,97,105,5,0,1,1,21,32,2,25,15,0,198,315,139,48,11,3,3.11,4.83,7.94
976597667,joker,General*joker#2767,4.96485E+17,3383345,2320721,195,21,16,63,124,4,1,1,11,1,25,7,14,3,0,226,295,108,34,5,1,2.84,3.65,6.5
997394645,EvilCoyote2011,evilcoyote2011#2815,3.39475E+17,3883597,2657354,222,11,47,58,135,3,2,1,8,4,25,5,12,1,0,208,286,95,21,2,1,2.1,3.38,5.48
427553566,Tel Nadda,TelNadda#6825,1.83588E+17,2478689,1801495,136,8,7,33,75,3,1,1,2,4,6,2,15,2,0,116,107,43,11,1,1,1.5,2.59,4.09
552522334,MINI Stewabob,FupaHave#2185,7.1132E+17,2582277,1730820,157,9,10,46,76,1,2,1,8,2,18,3,7,4,0,139,204,78,22,8,1,2.77,3.43,6.2
513125742,MarkKenoburger,kenoburger#9903,6.74842E+17,3112752,2006597,173,7,33,66,120,1,2,0,21,5,16,6,14,2,0,207,274,124,28,3,2,3.42,4.46,7.89
