Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,28-Dec-21,27-Dec-21,26-Dec-21,25-Dec-21,24-Dec-21,23-Dec-21,22-Dec-21
MINI xipokemastrix,242144976,0,364752,596,600,600,560,600,600,600,600
Higgs,265535499,0,260812,582,600,600,600,600,556,600,600
AKB,461667365,0,239748,555,600,600,600,600,600,600,600
Baxston Kane,473373554,0,258624,591,600,600,600,600,600,600,600
ONE,873729113,0,263280,598,600,600,596,600,600,600,600
Neeb,648797678,0,247676,582,600,600,600,502,600,600,600
Dark Penguin,894569678,0,256970,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,0,257554,593,600,600,600,600,600,600,568
Promethean,245711569,0,257836,588,600,600,600,600,600,600,600
Wolfman314,144353549,0,236236,591,450,600,600,600,600,600,600
BabyYodaHitta,629856937,0,216462,587,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,0,227770,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,0,212122,598,600,600,600,600,600,600,600
Guntha Arbos,248271439,0,209298,596,600,600,600,600,600,600,600
Philo Beddoe,753225541,0,205530,598,600,600,600,600,600,600,600
Calens,499477827,0,204374,596,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,0,181412,561,600,464,600,528,404,600,600
Zhil Axfow,826592934,0,197370,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,0,177518,592,600,600,600,600,600,600,600
ilekkund2,148163689,0,175740,582,600,600,600,600,600,600,600
M1TTH,124849497,0,141892,578,600,600,600,600,600,600,600
Loadage,268951863,0,144600,600,600,600,600,600,600,600,600
TacoPizza,797491243,0,133298,595,600,600,600,600,600,600,600
Theflavorgreen,416984533,0,120398,595,600,600,600,600,600,600,600
ShootMeow,118543169,0,115094,593,600,600,600,600,600,600,600
OttoVonGens,994659641,0,93470,591,600,600,600,600,600,414,600
Chaunce,492994246,0,91776,580,600,600,600,600,600,588,600
wamakima5004,556569861,0,87580,554,600,600,600,600,600,600,600
Exeel,184344456,0,94276,596,600,600,600,600,560,600,600
Gryphix,997239157,0,92142,585,600,600,600,600,600,600,600
ilekkund,214848174,0,90696,577,600,600,600,600,600,600,600
Agave,148199846,0,88926,567,600,600,600,600,600,600,600
Zlada14,825875376,0,85084,547,600,598,600,572,600,600,600
EvilCoyote2011,997394645,0,65704,567,600,600,600,600,600,600,600
joker,976597667,0,60958,524,600,600,600,600,0,600,0
Tommyboy85,929389526,0,54000,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,0,49968,561,600,600,434,600,328,600,600
Revanche Gilder,926679294,0,53384,599,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,0,44480,587,600,600,600,600,600,600,600
Flywire,515621617,0,44364,592,600,600,600,600,600,600,600
Argarax,545871634,600,44898,585,600,600,600,600,600,600,476
Sultan2309,938542548,0,32682,594,600,600,600,600,600,600,600
MarkKenoburger,513125742,0,24496,597,600,600,600,600,600,600,600
JamesBond007,188434999,0,18394,593,600,600,600,600,600,600,600
Tel Nadda,427553566,0,17844,574,600,600,600,600,600,600,600
BraZ,193116527,0,15396,521,600,600,428,600,600,0,600
Wil043,635417488,0,17348,579,600,600,600,600,600,600,600
Elros Halfelven,592184954,0,13070,582,600,470,600,600,600,600,600
Yellow 13,0,92,3296,457,600,340,464,518,434,468,380
drkknight13,0,0,3026,432,478,410,346,486,442,488,376
