Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,12-Dec-21,11-Dec-21,10-Dec-21,8-Dec-21,7-Dec-21,6-Dec-21,5-Dec-21
MINI xipokemastrix,242144976,600,355852,596,600,600,600,600,600,600,600
Higgs,265535499,406,251732,581,600,600,600,600,600,600,600
AKB,461667365,288,231348,556,600,600,600,600,600,130,600
Baxston Kane,473373554,522,249624,591,600,600,600,600,600,600,600
ONE,873729113,600,254284,598,600,600,600,600,600,600,600
Neeb,648797678,552,238874,582,556,600,600,600,600,600,600
Dark Penguin,894569678,0,247370,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,600,248586,593,600,588,600,600,600,486,600
Promethean,245711569,568,248988,588,600,600,600,600,410,600,600
Wolfman314,144353549,600,227386,591,600,600,540,600,600,600,600
BabyYodaHitta,629856937,600,207574,587,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,576,218746,595,600,600,600,600,600,600,600
MINI Stewabob,552522334,600,203122,598,600,600,600,600,600,600,600
Guntha Arbos,248271439,600,200298,595,600,600,600,600,600,600,600
Philo Beddoe,753225541,0,195930,598,580,600,600,600,600,600,600
Calens,499477827,600,195374,595,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,160,172376,560,600,600,600,364,600,600,600
Zhil Axfow,826592934,600,188370,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,600,168540,592,600,600,600,600,600,600,600
ilekkund2,148163689,490,166630,581,600,600,600,600,600,600,600
M1TTH,124849497,600,133120,577,600,0,528,600,600,600,600
Loadage,268951863,600,135600,600,600,600,600,600,600,600,600
TacoPizza,797491243,600,124298,594,600,600,600,600,600,600,600
Theflavorgreen,416984533,600,111398,595,600,600,600,600,600,600,600
ShootMeow,118543169,600,106094,592,600,600,600,600,600,600,600
OttoVonGens,994659641,600,84656,591,600,600,600,600,600,600,600
Chaunce,492994246,600,82888,579,600,600,600,600,600,600,596
wamakima5004,556569861,600,78600,549,600,300,600,600,600,600,600
Exeel,184344456,600,85348,596,600,600,600,600,600,600,600
Gryphix,997239157,600,83142,584,600,600,600,600,600,600,600
ilekkund,214848174,600,81696,574,600,600,600,600,600,600,600
Agave,148199846,600,79926,563,600,600,600,600,600,600,600
Zlada14,825875376,600,76378,543,0,596,600,600,540,600,600
Plucky Haydon,924737972,600,63128,524,600,600,600,600,600,600,600
EvilCoyote2011,997394645,564,56704,563,600,600,600,552,600,600,600
joker,976597667,600,53518,527,600,540,500,280,600,600,600
Tommyboy85,929389526,600,45000,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,424,41722,565,600,600,600,600,460,600,600
Revanche Gilder,926679294,600,44384,599,600,600,600,600,584,600,600
Larping Soccer Moms,962753997,600,35480,586,600,600,600,600,600,600,600
Flywire,515621617,600,35364,591,600,600,600,600,560,600,600
Argarax,545871634,600,35422,584,600,600,600,600,600,504,600
Sultan2309,938542548,444,23532,591,600,600,600,600,600,600,600
MarkKenoburger,513125742,600,15496,595,600,600,600,600,600,600,600
JamesBond007,188434999,600,9394,585,600,600,582,600,600,600,600
Tel Nadda,427553566,600,8910,550,600,600,600,600,600,590,600
BraZ,193116527,600,7882,539,384,600,600,410,600,600,402
Wil043,635417488,600,8348,553,600,600,600,600,600,600,600
Elros Halfelven,592184954,144,3744,581,600,600,600,600,600,-,-
