name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Tel Nadda,427553566,1587919,2253319,18441363,15,10,1,3877096,3877096,2,1,TRUE,TRUE,0,55219,FALSE,FALSE,0,0,0,,,,,
Larping Soccer Moms,962753997,1532658,2104520,24078258,11,28,1,4659889,3651739,4,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,2,
Wil043,635417488,2193571,3483683,29787224,27,35,2,9406998,5687998,3,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,4,4,,
Zhil Axfow,826592934,2873753,3651843,33801336,7,26,0,9305060,6572560,4,1,TRUE,TRUE,0,26859,FALSE,FALSE,0,0,0,3,4,,,
Tommyboy85,929389526,2857039,3905664,52202255,19,65,0,15038984,6763234,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4,1
Philo Beddoe,753225541,2618372,3521960,37583784,8,37,1,9331993,6153493,3,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,2,2,4,,
Loadage,268951863,2770692,3706061,52811538,7,69,6,15310255,6512005,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,1
BabyYodaHitta,629856937,1278019,1911369,14362297,11,9,0,1919621,1919621,1,1,FALSE,TRUE,0,0,FALSE,FALSE,0,1269767,0,,,,,
ilekkund,214848174,3153923,4528461,53573128,37,58,2,14350361,7702111,5,1,TRUE,TRUE,0,108425,TRUE,TRUE,0,0,0,3,4,0,4,1
ilekkund2,148163689,2377534,3038263,40050544,46,51,1,8765920,5430220,4,1,TRUE,TRUE,0,95644,FALSE,FALSE,0,0,0,3,4,,1,
