Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 1800000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Obi Won Sebroni,247341668,43925226,9356113,11318425,9557659,13693029,5,6,4,6,53,13,16,10,14,1,4,4,3,1,2,3,4,4,2,1,2,4,0,4,0,1,3,4,1,4,1,12,3,2,2,5,0,0,0,0,0
Larping Soccer Moms,962753997,24898640,5790693,7281593,3617861,8208493,4,5,2,4,23,5,9,4,5,3,0,0,1,1,1,3,3,0,2,0,2,2,0,0,0,1,0,0,1,2,1,7,2,1,2,2,0,0,0,0,0
Gryphix,997239157,46718329,11433978,12837358,12835091,9611902,5,6,4,6,51,12,13,12,14,3,4,0,4,1,1,4,4,0,3,1,4,4,0,4,0,2,3,4,1,3,1,22,16,1,2,3,0,0,0,0,0
ilekkund,214848174,56394483,12043439,15617876,13177227,15555941,5,6,4,6,54,12,19,11,12,1,3,4,4,0,3,3,4,4,4,1,1,2,4,4,0,3,4,0,1,3,1,52,11,20,7,14,0,0,0,0,0
Zhil Axfow,826592934,37825374,10199312,10780059,6100396,10745607,5,5,1,5,33,9,9,4,11,1,3,0,4,1,1,1,2,4,0,1,4,0,0,0,0,3,3,3,1,0,1,15,5,2,5,3,0,0,0,0,0
MINI xipokemastrix,242144976,38795650,7450492,11102725,8223212,12019221,5,6,3,5,43,7,17,7,12,3,0,0,3,1,3,3,4,4,3,0,3,0,0,4,0,1,3,4,0,3,1,44,26,5,11,2,0,0,0,0,0
Flywire,515621617,54262724,11708876,13043158,12709777,16800913,5,6,4,6,67,17,17,15,18,4,4,4,4,1,4,4,4,0,4,1,3,4,4,4,0,4,4,4,1,4,1,16,4,3,6,3,1,0,0,1,0
Baxston Kane,473373554,49557848,11177021,14940503,9518706,13921618,5,6,4,6,51,11,19,11,10,1,4,4,1,1,2,4,4,4,4,1,4,4,0,3,0,2,4,0,1,2,1,9,3,3,2,1,0,0,0,0,0
MarkKenoburger,513125742,42499834,9626486,12115032,8094440,12663876,5,6,3,5,53,13,17,11,12,4,4,0,4,1,4,4,4,0,4,1,3,4,4,0,0,3,4,0,1,3,1,3,1,0,1,1,0,0,0,0,0
KaStarkiller,222784581,28839158,8018920,8460850,4317276,8042112,5,4,2,5,27,9,8,3,7,1,3,0,4,1,1,3,0,0,3,1,3,0,0,0,0,2,3,0,0,2,0,60,19,23,7,11,0,0,0,0,0
ONE,873729113,38591912,8628874,9388220,8565421,12009397,5,5,4,5,24,4,6,4,10,0,0,0,3,1,1,4,0,0,1,0,2,2,0,0,0,3,3,0,1,3,0,6,4,1,0,1,0,0,0,0,0
Dark Penguin,894569678,21598027,5648181,9015329,1653732,5280785,4,6,2,3,20,3,10,2,5,3,0,0,0,0,3,4,0,0,2,1,2,0,0,0,0,2,0,0,0,3,0,32,27,0,2,3,0,0,0,0,0
Tel Nadda,427553566,17726918,4991361,5825569,2695550,4214438,3,4,2,3,9,2,4,0,3,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,27,5,4,15,3,0,0,0,0,0
FinnTheMenaceOfEldia USM,281246885,41367503,10218499,8507582,7255146,15386276,4,5,3,6,41,10,12,6,13,1,4,4,0,1,3,4,0,0,4,1,1,2,0,3,0,3,3,0,2,4,1,36,27,5,1,3,0,0,0,0,0
JustinAlexander11,283842274,36940454,11229324,9785430,8800063,7125637,5,6,4,5,52,13,16,10,13,4,4,0,4,1,1,3,4,4,3,1,2,4,4,0,0,3,3,4,1,2,0,1,1,0,0,0,0,0,0,0,0
Guntha Arbos,248271439,41309636,8251474,12173701,8797593,12086868,5,6,3,5,40,10,14,9,7,1,2,3,3,1,1,3,4,4,2,0,2,3,0,4,0,3,0,0,1,2,1,9,1,2,4,2,1,0,0,0,1
Tommyboy85,929389526,53819994,9865853,14521142,13632936,15800063,5,6,4,6,58,9,19,15,15,1,4,4,0,0,3,4,4,4,3,1,3,4,4,4,0,3,3,4,1,3,1,59,23,17,13,6,0,0,0,0,0
Philo Beddoe,753225541,40127426,10029089,9517442,10054134,10526761,4,2,3,4,35,9,8,8,10,1,3,0,4,1,4,4,0,0,0,0,4,4,0,0,0,2,4,0,0,3,1,37,1,10,6,20,0,0,0,0,0
Loadage,268951863,58633463,11391369,15203427,13482903,18555764,5,6,4,6,68,13,21,15,19,4,4,0,4,1,4,4,4,4,4,1,3,4,4,4,0,4,4,4,2,4,1,9,3,1,2,3,2,0,1,1,0
Higgs,265535499,29329602,8841487,8224471,7699348,4564296,5,5,3,5,25,8,6,4,7,2,4,0,1,1,1,2,3,0,0,0,4,0,0,0,0,3,3,0,1,0,0,13,2,1,0,10,0,0,0,0,0
TacoPizza,797491243,43014983,10366318,10700967,8371473,13576225,4,4,3,5,48,13,12,11,12,4,4,0,4,1,3,4,4,0,0,1,3,4,4,0,0,3,3,0,1,4,1,4,0,1,1,2,0,0,0,0,0
joker,976597667,29431397,3623961,10460637,7701208,7645591,2,6,3,5,26,3,11,5,7,2,0,0,0,1,2,2,3,0,3,1,2,3,0,0,0,2,3,0,1,1,0,13,1,4,4,4,0,0,0,0,0
Masajj Vemtits,596537312,40459494,9068295,8959217,8966507,13465475,4,2,2,5,30,7,7,6,10,1,3,0,2,1,3,4,0,0,0,0,2,4,0,0,0,4,0,0,1,4,1,8,2,3,0,3,0,0,0,0,0
Wolfman314,144353549,45117685,10245280,14312540,11934935,8624930,5,6,4,4,47,9,19,12,7,1,1,3,3,1,4,4,4,4,2,1,2,3,4,3,0,2,0,0,1,3,1,5,0,1,3,1,0,0,0,0,0
JacenCaedus,634487631,55034097,11403056,13333763,13493888,16803390,5,6,4,6,55,11,14,13,17,1,2,4,3,1,2,4,4,0,3,1,1,4,4,4,0,3,4,4,2,4,0,62,15,18,21,8,0,0,0,0,0
AKB,461667365,52225750,11164218,14115390,13227277,13718865,5,6,4,6,64,14,19,15,16,3,4,4,2,1,3,4,4,4,3,1,3,4,4,4,0,3,4,4,1,3,1,68,6,30,28,4,0,0,0,0,0
Agave,148199846,51159242,11755404,12997729,12331699,14074410,5,6,4,6,57,15,17,13,12,3,3,4,4,1,3,3,4,4,3,0,3,3,3,4,0,2,3,3,1,2,1,62,23,19,0,20,2,0,1,0,1
Stargun inoza,992275427,44035325,7710222,11375332,11482107,13467664,5,4,4,6,47,12,13,11,11,1,3,3,4,1,3,4,4,0,2,0,1,3,3,4,0,3,3,0,1,3,1,25,4,20,0,1,0,0,0,0,0
OttoVonGens,994659641,56961906,12873685,15805568,11095887,17186766,5,6,4,6,63,15,20,13,15,2,4,4,4,1,3,4,4,4,4,1,1,4,4,4,0,2,3,4,2,3,1,44,4,23,13,4,2,0,1,0,1
MINI Stewabob,552522334,21044671,5974327,6939146,6195264,1935934,4,3,3,1,25,11,6,8,0,3,3,3,2,0,4,0,0,0,2,0,2,3,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Maxaron Lexilon,591283737,15950285,5805757,9491977,652551,0,2,3,0,0,10,5,5,0,0,4,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0
